,Rate
3,0.0
4,0.0
6,0.5446623093681917
9,0.486854917234664
12,4.898958971218616
15,5.071851225697379
18,17.8117048346056
21,40.54054054054054
195,0.0
196,0.0
198,0.0
201,0.0
204,1.199040767386091
207,7.512520868113522
210,10.075566750629724
213,13.698630136986303
387,0.0
388,0.0
390,0.5567928730512248
393,1.529051987767584
396,2.937720329024677
399,3.316749585406302
402,12.254901960784311
405,13.157894736842104
579,0.0
580,0.0
582,0.0
585,2.0746887966804977
588,2.324230098779779
591,8.223684210526315
594,4.750593824228028
597,13.513513513513516
771,0.16818028927009754
772,0.4591368227731864
774,0.0
777,1.5873015873015872
780,4.050925925925926
783,7.364975450081833
786,4.651162790697674
789,0.0
963,0.0
964,0.0
966,0.0
969,1.6137708445400754
972,3.4762456546929315
975,13.061224489795917
978,15.801354401805868
981,13.513513513513516
1155,0.0
1156,0.0
1158,1.0922992900054616
1161,1.0922992900054616
1164,2.8901734104046244
1167,8.979591836734693
1170,19.650655021834062
1173,43.478260869565226
2705,0.4040844859843296
2706,0.0
2707,0.0
2709,0.0
2712,0.6797726840144656
2715,11.90216421019222
2718,10.144302705992747
2721,18.04077214504781
2934,0.0
2935,0.5467916997019985
2936,0.624675949351274
2938,1.328391716149258
2941,4.046398705152415
2944,6.031059958787756
2947,9.898050084133425
2950,70.11393514461
3163,0.0
3164,0.0
3165,0.0
3167,0.6685430441438972
3170,3.3119382124807077
3173,9.270800070046043
3176,21.854208149191393
3179,36.08805485384338
3392,0.0
3393,0.0
3394,0.0
3396,0.6742088159544775
3399,5.9013297663073425
3402,7.36315058694829
3405,52.108005684509706
3408,53.01289980561937
3621,0.0
3622,0.0
3623,0.0
3625,0.6814913757266402
3628,6.722734270482492
3631,9.151549662409503
3634,27.877154671746506
3637,33.64737550471063
3850,0.0
3851,0.0
3852,0.0
3854,0.0
3857,4.110856085779865
3860,13.912352181258075
3863,27.505271843770057
3866,47.77070063694268
4079,0.0
4080,0.0
4081,0.0
4083,1.4024163633941282
4086,2.0966997945234205
4089,18.543640995110334
4092,26.949335249730506
4095,14.98800959232614
4308,0.0
4309,0.0
4310,0.0
4312,1.3997074611406213
4315,3.5562130598368413
4318,17.37619461337967
4321,48.62845648858337
4324,14.259232853272495
4537,0.0
4538,0.0
4539,1.1383298424551496
4541,2.0806602628567465
4544,5.048356038915613
4547,26.717812192864436
4550,39.031159875967646
4553,27.155465037338764
4766,0.0
4767,0.0
4768,0.5659661891798584
4770,1.3804623168299064
4773,4.3781239738771935
4776,16.018845700824503
4779,32.335948952315256
4782,13.054830287206268
4995,0.0
4996,0.0
4997,0.0
4999,0.0
5002,2.2136953955135774
5005,16.646013279819485
5008,30.059689955769308
5011,62.66449429753102
5224,0.0
5225,0.0
5226,0.0
5228,0.0
5231,5.939388539949813
5234,25.542551153519856
5237,39.22166779247379
5240,48.09426475892751
5453,0.2312202881929672
5454,0.0
5455,0.0
5457,2.5708923567370228
5460,5.194882298809629
5463,18.95991332611051
5466,42.28235713014064
5469,57.01254275940707
5682,0.0
5683,0.0
5684,0.0
5686,1.259652084094373
5689,4.466545573653336
5692,17.92323478541407
5695,35.77577532813094
5698,99.16262670780081
5911,0.0
5912,0.0
5913,0.0
5915,2.4747115414359513
5918,3.743131353965473
5921,15.47846672129655
5924,33.70904877277994
5927,74.92240179813764
6140,0.23914634321326592
6141,0.0
6142,0.5613341790768298
6144,1.8162774787646891
6147,4.551212518868568
6150,17.40596200003664
6153,46.53515427415276
6156,72.4112961622013
6369,0.0
6370,0.0
6371,0.0
6373,0.5955287699948785
6376,12.234005948785393
6379,18.46415184918481
6382,41.08383057810819
6385,40.21312958681009
6598,0.0
6599,0.0
6600,0.0
6602,1.7629843799583937
6605,6.107849349895784
6608,14.83720800838302
6611,53.46062052505967
6614,48.71395167575994
6827,0.24720656580638778
6828,0.0
6829,0.5439335095677905
6831,1.1660107855997668
6834,11.364239012674913
6837,30.743432084963665
6840,55.68652200545728
6843,65.98793363499246
7056,0.0
7057,0.0
7058,0.0
7060,0.5801069717255862
7063,9.7272625238505
7066,25.19714432364332
7069,41.638756630519396
7072,54.36259853220984
7286,0.0
7288,0.0
7290,0.0
7293,0.5774905724664045
7297,4.418359757579328
7301,33.61470082916262
7305,56.14429082742648
7309,70.602771158768
7605,0.0
7607,0.0
7609,0.0
7612,0.5867959182475927
7616,7.792299791024687
7620,21.41387432848883
7624,35.82578432877834
7628,113.329265103304
7924,0.0
7926,0.0
7928,0.0
7931,2.3591860808021234
7935,8.272781171150056
7939,27.689070201022645
7943,40.115666839386904
7947,121.25411397886714
8243,0.0
8245,0.0
8247,0.0
8250,1.7684195634361568
8254,5.413892046992584
8258,14.698992200347263
8262,59.3638177530795
8266,49.6031746031746
8562,0.0
8564,0.0
8566,0.0
8569,1.1727591504532715
8573,3.3223915903624066
8577,26.601355751855216
8581,78.60991467548844
8585,74.55453664355475
8881,0.0
8883,0.0
8885,0.0
8888,0.0
8892,4.560171462446989
8896,24.971329214605447
8900,77.15305236763429
8904,89.84105044920526
9200,0.0
9202,0.6827290043762929
9204,0.552871059411524
9207,0.5734602592040372
9211,2.563445270443476
9215,32.4416513727453
9219,60.14466374384705
9223,148.08138037599798
9519,0.0
9521,0.0
9523,0.0
9526,1.6955474922852591
9530,5.683648144288881
9534,30.39765661701716
9538,65.35032441768193
9542,85.97396217145665
9838,0.0
9840,0.0
9842,0.5813852083975279
9845,0.5574850733371615
9849,5.615278549012023
9853,28.198224421481587
9857,61.12469437652812
9861,128.873528205729
10157,0.0
10159,0.0
10161,0.5997145358809207
10164,0.5484560960895081
10168,4.954020497259807
10172,26.75704602211916
10176,85.58301552505931
10180,137.7334582116688
10476,0.0
10478,0.0
10480,0.0
10483,1.0778126869331377
10487,8.628659476117104
10491,37.38025279482588
10495,88.32467551909458
10499,143.78940382701032
10795,0.0
10797,0.0
10799,0.0
10802,0.5374032674118657
10806,5.632286771009995
10810,28.834588324463265
10814,100.90522221084804
10818,207.27040816326536
25,0.10426441455531228
27,0.30497102775236357
29,0.7109847138286527
32,0.6497725795971411
35,1.9394879751745537
38,7.8698845750262345
41,29.874213836477992
