,Region,Agegroup,Sex,Year,Rate
3399,NORTH EAST,55-64,Male,1984-01-01 00:00:00,5.9013297663073425
3402,NORTH EAST,65-74,Male,1984-01-01 00:00:00,7.36315058694829
3405,NORTH EAST,75-84,Male,1984-01-01 00:00:00,52.108005684509706
3408,NORTH EAST,85+,Male,1984-01-01 00:00:00,53.01289980561937
3621,NORTH EAST,UNDER 25,Male,1985-01-01 00:00:00,0.0
3622,NORTH EAST,25-34,Male,1985-01-01 00:00:00,0.0
3623,NORTH EAST,35-44,Male,1985-01-01 00:00:00,0.0
3625,NORTH EAST,45-54,Male,1985-01-01 00:00:00,0.6814913757266402
3628,NORTH EAST,55-64,Male,1985-01-01 00:00:00,6.722734270482492
3631,NORTH EAST,65-74,Male,1985-01-01 00:00:00,9.151549662409503
3634,NORTH EAST,75-84,Male,1985-01-01 00:00:00,27.877154671746506
3637,NORTH EAST,85+,Male,1985-01-01 00:00:00,33.64737550471063
3850,NORTH EAST,UNDER 25,Male,1986-01-01 00:00:00,0.0
3851,NORTH EAST,25-34,Male,1986-01-01 00:00:00,0.0
3852,NORTH EAST,35-44,Male,1986-01-01 00:00:00,0.0
3854,NORTH EAST,45-54,Male,1986-01-01 00:00:00,0.0
3857,NORTH EAST,55-64,Male,1986-01-01 00:00:00,4.110856085779865
3860,NORTH EAST,65-74,Male,1986-01-01 00:00:00,13.912352181258075
3863,NORTH EAST,75-84,Male,1986-01-01 00:00:00,27.505271843770057
3866,NORTH EAST,85+,Male,1986-01-01 00:00:00,47.77070063694268
4079,NORTH EAST,UNDER 25,Male,1987-01-01 00:00:00,0.0
4080,NORTH EAST,25-34,Male,1987-01-01 00:00:00,0.0
4081,NORTH EAST,35-44,Male,1987-01-01 00:00:00,0.0
4083,NORTH EAST,45-54,Male,1987-01-01 00:00:00,1.4024163633941282
4086,NORTH EAST,55-64,Male,1987-01-01 00:00:00,2.0966997945234205
4089,NORTH EAST,65-74,Male,1987-01-01 00:00:00,18.543640995110334
4092,NORTH EAST,75-84,Male,1987-01-01 00:00:00,26.949335249730506
4095,NORTH EAST,85+,Male,1987-01-01 00:00:00,14.98800959232614
4308,NORTH EAST,UNDER 25,Male,1988-01-01 00:00:00,0.0
4309,NORTH EAST,25-34,Male,1988-01-01 00:00:00,0.0
4310,NORTH EAST,35-44,Male,1988-01-01 00:00:00,0.0
4312,NORTH EAST,45-54,Male,1988-01-01 00:00:00,1.3997074611406213
4315,NORTH EAST,55-64,Male,1988-01-01 00:00:00,3.5562130598368413
4318,NORTH EAST,65-74,Male,1988-01-01 00:00:00,17.37619461337967
4321,NORTH EAST,75-84,Male,1988-01-01 00:00:00,48.62845648858337
4324,NORTH EAST,85+,Male,1988-01-01 00:00:00,14.259232853272495
4537,NORTH EAST,UNDER 25,Male,1989-01-01 00:00:00,0.0
4538,NORTH EAST,25-34,Male,1989-01-01 00:00:00,0.0
4539,NORTH EAST,35-44,Male,1989-01-01 00:00:00,1.1383298424551496
4541,NORTH EAST,45-54,Male,1989-01-01 00:00:00,2.0806602628567465
4544,NORTH EAST,55-64,Male,1989-01-01 00:00:00,5.048356038915613
4547,NORTH EAST,65-74,Male,1989-01-01 00:00:00,26.717812192864436
4550,NORTH EAST,75-84,Male,1989-01-01 00:00:00,39.031159875967646
4553,NORTH EAST,85+,Male,1989-01-01 00:00:00,27.155465037338764
4766,NORTH EAST,UNDER 25,Male,1990-01-01 00:00:00,0.0
4767,NORTH EAST,25-34,Male,1990-01-01 00:00:00,0.0
4768,NORTH EAST,35-44,Male,1990-01-01 00:00:00,0.5659661891798584
4770,NORTH EAST,45-54,Male,1990-01-01 00:00:00,1.3804623168299064
