"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","29065190.0","361759.0","1397367.0","1652651.0","1888168.0","2217625.0","2331058.0","2033326.0","1870635.0","2068618.0","1699514.0","1578507.0","1525229.0","1576351.0","1657262.0","1395482.0","1386825.0","1134143.0","759799.0","530871.0"
"","GREAT BRITAIN","28264743.0","348549.0","1345206.0","1589863.0","1822984.0","2146159.0","2267129.0","1977300.0","1822132.0","2019891.0","1654174.0","1538170.0","1486751.0","1537334.0","1618737.0","1362279.0","1355071.0","1109536.0","744153.0","519325.0"
"","ENGLAND & WALES","25606367.0","316485.0","1218423.0","1438659.0","1645569.0","1934554.0","2049313.0","1785518.0","1651508.0","1841472.0","1503401.0","1390038.0","1340080.0","1388724.0","1469768.0","1235999.0","1231734.0","1009817.0","678915.0","476390.0"
"","ENGLAND","24161024.0","298578.0","1149612.0","1356720.0","1550895.0","1827218.0","1937517.0","1693612.0","1563301.0","1741014.0","1419083.0","1312660.0","1263765.0","1307975.0","1381098.0","1159340.0","1158874.0","950444.0","639238.0","450080.0"
"","WALES","1445343.0","17907.0","68811.0","81939.0","94674.0","107336.0","111796.0","91906.0","88207.0","100458.0","84318.0","77378.0","76315.0","80749.0","88670.0","76659.0","72860.0","59373.0","39677.0","26310.0"
"","SCOTLAND","2658376.0","32064.0","126783.0","151204.0","177415.0","211605.0","217816.0","191782.0","170624.0","178419.0","150773.0","148132.0","146671.0","148610.0","148969.0","126280.0","123337.0","99719.0","65238.0","42935.0"
"","NORTHERN IRELAND","800447.0","13210.0","52161.0","62788.0","65184.0","71466.0","63929.0","56026.0","48503.0","48727.0","45340.0","40337.0","38478.0","39017.0","38525.0","33203.0","31754.0","24607.0","15646.0","11546.0"
"A","NORTH EAST","1337321.0","16774.0","65243.0","77220.0","89020.0","100809.0","106746.0","93773.0","85561.0","92238.0","75286.0","73904.0","73517.0","77104.0","80784.0","65095.0","61698.0","49530.0","32448.0","20571.0"
"B","NORTH WEST","3536291.0","45075.0","172343.0","202393.0","236711.0","269094.0","278094.0","240587.0","219865.0","245824.0","203011.0","192277.0","186019.0","194319.0","205815.0","172553.0","173233.0","142193.0","94631.0","62254.0"
"D","YORKSHIRE AND THE HUMBER","2510662.0","31100.0","119696.0","142436.0","167908.0","195497.0","199954.0","171954.0","157865.0","175744.0","143662.0","136748.0","132600.0","137103.0","144811.0","121660.0","121480.0","99171.0","66352.0","44921.0"
"E","EAST MIDLANDS","1978762.0","24249.0","95579.0","115771.0","134505.0","150126.0","155571.0","137760.0","129965.0","147526.0","119742.0","108167.0","103141.0","106759.0","112042.0","92637.0","90600.0","73030.0","48463.0","33129.0"
"F","WEST MIDLANDS","2634689.0","33974.0","129757.0","155142.0","182111.0","206971.0","208837.0","181271.0","167076.0","189833.0","159293.0","147018.0","140267.0","144746.0","152090.0","124245.0","118066.0","93376.0","60960.0","39656.0"
"G","EASTERN","2528001.0","30596.0","123689.0","150135.0","169569.0","186870.0","193138.0","174946.0","169807.0","193966.0","155409.0","139156.0","132382.0","134301.0","140186.0","117162.0","116060.0","93437.0","62365.0","44827.0"
"H","LONDON","3507116.0","46406.0","165537.0","177689.0","189552.0","259270.0","334588.0","287344.0","243503.0","248388.0","197263.0","183640.0","178795.0","184800.0","190313.0","159041.0","163262.0","136146.0","92240.0","69339.0"
"J","SOUTH EAST","3801363.0","44513.0","176187.0","212672.0","239604.0","288272.0","290659.0","256224.0","246408.0","282929.0","230520.0","208101.0","196611.0","200182.0","212214.0","182097.0","186272.0","157162.0","109249.0","81487.0"
"K","SOUTH WEST","2326819.0","25891.0","101581.0","123262.0","141915.0","170309.0","169930.0","149753.0","143251.0","164566.0","134897.0","123649.0","120433.0","128661.0","142843.0","124850.0","128203.0","106399.0","72530.0","53896.0"
"W","WALES","1445343.0","17907.0","68811.0","81939.0","94674.0","107336.0","111796.0","91906.0","88207.0","100458.0","84318.0","77378.0","76315.0","80749.0","88670.0","76659.0","72860.0","59373.0","39677.0","26310.0"
"00EB","HARTLEPOOL UA","47309.0","630.0","2522.0","2858.0","3296.0","3739.0","3802.0","3400.0","2988.0","3120.0","2583.0","2712.0","2689.0","2706.0","2766.0","2148.0","1955.0","1643.0","1089.0","663.0"
"00EC","MIDDLESBROUGH UA","74449.0","1195.0","4234.0","4790.0","5399.0","6527.0","6469.0","5685.0","4760.0","4717.0","3855.0","3932.0","3901.0","4107.0","4259.0","3157.0","2885.0","2270.0","1454.0","853.0"
"00EE","REDCAR & CLEVELAND UA","76049.0","986.0","4043.0","4773.0","5681.0","6034.0","6118.0","5194.0","4862.0","5584.0","4718.0","4413.0","4035.0","4128.0","4211.0","3401.0","3064.0","2300.0","1534.0","970.0"
"00EF","STOCKTON-ON-TEES UA","89424.0","1307.0","5043.0","5842.0","6374.0","6594.0","7753.0","7059.0","6275.0","6523.0","5131.0","4954.0","4856.0","4906.0","4816.0","3598.0","3250.0","2489.0","1621.0","1033.0"
"00EH","DARLINGTON UA","51383.0","620.0","2403.0","2870.0","3234.0","3645.0","3944.0","3568.0","3372.0","3574.0","2919.0","2817.0","2700.0","2922.0","3181.0","2578.0","2592.0","2128.0","1396.0","920.0"
"00ET","HALTON UA","63214.0","889.0","3643.0","4486.0","5042.0","5016.0","5171.0","4875.0","4564.0","4735.0","3534.0","3210.0","3084.0","3103.0","3269.0","2635.0","2424.0","1808.0","1113.0","613.0"
"00EU","WARRINGTON UA","89132.0","1153.0","4545.0","5294.0","6156.0","6674.0","7328.0","6422.0","5846.0","6742.0","5752.0","5154.0","4592.0","4564.0","4802.0","3979.0","3833.0","3044.0","1999.0","1253.0"
"00EX","BLACKBURN WITH DARWEN UA","72444.0","1074.0","4295.0","4853.0","5460.0","5492.0","5837.0","5234.0","4503.0","4658.0","3659.0","3576.0","3441.0","3618.0","3771.0","3244.0","3509.0","2945.0","1999.0","1276.0"
"00EY","BLACKPOOL UA","79445.0","738.0","2787.0","3346.0","4060.0","5346.0","5671.0","4588.0","4104.0","4881.0","4347.0","4342.0","4339.0","4875.0","5615.0","5009.0","5359.0","4591.0","3200.0","2247.0"
