"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","27541922.0","383733.0","1477584.0","1774259.0","1889343.0","2271591.0","2391249.0","2120420.0","1901862.0","2078776.0","1785573.0","1569699.0","1506450.0","1496329.0","1462629.0","1199898.0","1006458.0","696928.0","362976.0","166165.0"
"","GREAT BRITAIN","26773539.0","369525.0","1422808.0","1707612.0","1822270.0","2198497.0","2322625.0","2061893.0","1851262.0","2029653.0","1739925.0","1530697.0","1470347.0","1461842.0","1429641.0","1172192.0","984031.0","681490.0","355294.0","161935.0"
"","ENGLAND & WALES","24311228.0","335478.0","1291548.0","1546959.0","1646919.0","1983498.0","2099190.0","1863495.0","1678778.0","1849505.0","1588595.0","1390630.0","1333977.0","1328375.0","1302487.0","1071456.0","900337.0","624131.0","326398.0","149472.0"
"","ENGLAND","22948801.0","316582.0","1218661.0","1458554.0","1551798.0","1873201.0","1988422.0","1767163.0","1589595.0","1748124.0","1500421.0","1311905.0","1258153.0","1251629.0","1223715.0","1005737.0","847263.0","588745.0","308017.0","141116.0"
"","WALES","1362427.0","18896.0","72887.0","88405.0","95121.0","110297.0","110768.0","96332.0","89183.0","101381.0","88174.0","78725.0","75824.0","76746.0","78772.0","65719.0","53074.0","35386.0","18381.0","8356.0"
"","SCOTLAND","2462311.0","34047.0","131260.0","160653.0","175351.0","214999.0","223435.0","198398.0","172484.0","180148.0","151330.0","140067.0","136370.0","133467.0","127154.0","100736.0","83694.0","57359.0","28896.0","12463.0"
"","NORTHERN IRELAND","768383.0","14208.0","54776.0","66647.0","67073.0","73094.0","68624.0","58527.0","50600.0","49123.0","45648.0","39002.0","36103.0","34487.0","32988.0","27706.0","22427.0","15438.0","7682.0","4230.0"
"A","NORTH EAST","1259393.0","17743.0","68467.0","82457.0","90493.0","99473.0","104923.0","95982.0","87076.0","93621.0","78527.0","72353.0","71785.0","73456.0","72499.0","56543.0","44087.0","29101.0","14527.0","6280.0"
"B","NORTH WEST","3302964.0","47561.0","182637.0","215847.0","239758.0","268687.0","277915.0","246448.0","222801.0","246924.0","213171.0","191547.0","184304.0","183949.0","178947.0","143978.0","119136.0","81086.0","40591.0","17677.0"
"D","YORKSHIRE AND THE HUMBER","2375171.0","33181.0","126736.0","151432.0","169036.0","199188.0","202262.0","178735.0","161370.0","177775.0","152067.0","135704.0","130243.0","130330.0","129894.0","105475.0","87611.0","59703.0","30805.0","13624.0"
"E","EAST MIDLANDS","1918613.0","25627.0","101002.0","123610.0","135437.0","155831.0","158882.0","142502.0","131957.0","149387.0","129863.0","110755.0","104962.0","105099.0","104211.0","85207.0","69775.0","48058.0","25164.0","11284.0"
"F","WEST MIDLANDS","2544349.0","35566.0","138086.0","165200.0","183454.0","213160.0","211974.0","188245.0","171815.0","190915.0","170924.0","150371.0","142803.0","143692.0","138304.0","110817.0","88859.0","58701.0","29378.0","12085.0"
"G","EAST","2451069.0","32695.0","130201.0","160560.0","170819.0","195098.0","203115.0","185125.0","171517.0","194319.0","166015.0","140966.0","134208.0","131337.0","126564.0","106622.0","90453.0","62805.0","33220.0","15430.0"
"H","LONDON","3260367.0","49183.0","176276.0","193680.0","186036.0","242080.0","335873.0","292999.0","244405.0","245406.0","201873.0","179824.0","175385.0","175245.0","169729.0","133272.0","115476.0","81994.0","42077.0","19554.0"
"J","SOUTH EAST","3636447.0","47270.0","187203.0","231935.0","234675.0","315734.0","312393.0","278085.0","253606.0","285038.0","244346.0","207396.0","196052.0","189553.0","181965.0","156033.0","136147.0","98589.0","54168.0","26259.0"
"K","SOUTH WEST","2200428.0","27756.0","108053.0","133833.0","142090.0","183950.0","181085.0","159042.0","145048.0","164739.0","143635.0","122989.0","118411.0","118968.0","121602.0","107790.0","95719.0","68708.0","38087.0","18923.0"
"W","WALES","1362427.0","18896.0","72887.0","88405.0","95121.0","110297.0","110768.0","96332.0","89183.0","101381.0","88174.0","78725.0","75824.0","76746.0","78772.0","65719.0","53074.0","35386.0","18381.0","8356.0"
"00EB","HARTLEPOOL UA","44318.0","693.0","2522.0","2982.0","3409.0","3418.0","3671.0","3253.0","3034.0","3202.0","2685.0","2607.0","2662.0","2662.0","2601.0","1888.0","1426.0","924.0","486.0","193.0"
"00EC","MIDDLESBROUGH UA","71063.0","1223.0","4506.0","5235.0","5316.0","6439.0","6364.0","5450.0","4838.0","4893.0","3988.0","3789.0","3783.0","4062.0","3860.0","2910.0","2075.0","1333.0","694.0","305.0"
"00EE","REDCAR & CLEVELAND UA","72001.0","1069.0","4061.0","4960.0","5899.0","5643.0","5899.0","5376.0","4770.0","5382.0","4864.0","4418.0","4089.0","4041.0","3789.0","3047.0","2315.0","1424.0","682.0","273.0"
"00EF","STOCKTON-ON-TEES UA","85304.0","1334.0","5214.0","6186.0","6657.0","6014.0","7062.0","7250.0","6323.0","6716.0","5444.0","4889.0","4835.0","4840.0","4429.0","3194.0","2356.0","1506.0","755.0","300.0"
"00EH","DARLINGTON UA","47658.0","631.0","2550.0","3190.0","3420.0","3373.0","3498.0","3559.0","3325.0","3710.0","3050.0","2840.0","2746.0","2742.0","2774.0","2301.0","1771.0","1210.0","645.0","323.0"
"00ET","HALTON UA","60893.0","1021.0","3904.0","4767.0","5146.0","4895.0","5079.0","4725.0","4491.0","4852.0","3898.0","3321.0","3102.0","3065.0","2872.0","2239.0","1753.0","1092.0","490.0","181.0"
"00EU","WARRINGTON UA","87517.0","1211.0","4887.0","5963.0","6523.0","6965.0","7452.0","6894.0","6162.0","6858.0","6040.0","5348.0","4913.0","4664.0","4269.0","3516.0","2780.0","1854.0","855.0","363.0"
"00EX","BLACKBURN WITH DARWEN UA","68147.0","1121.0","4513.0","5205.0","5566.0","5626.0","5394.0","5252.0","4663.0","5010.0","4112.0","3698.0","3462.0","3489.0","3402.0","2684.0","2210.0","1635.0","773.0","332.0"
"00EY","BLACKPOOL UA","69427.0","891.0","3028.0","3542.0","4224.0","5042.0","5328.0","4774.0","4035.0","4854.0","4509.0","4201.0","4199.0","4339.0","4434.0","3955.0","3523.0","2540.0","1286.0","723.0"
"00FA","KINGSTON UPON HULL, CITY OF UA","129121.0","2113.0","7262.0","8349.0","9559.0","11958.0","12833.0","10396.0","8756.0","8905.0","6966.0","6561.0","6724.0","6824.0","6853.0","5534.0","4527.0","2957.0","1442.0","602.0"
"00FB","EAST RIDING OF YORKSHIRE UA","133658.0","1555.0","6415.0","8385.0","10110.0","9955.0","8757.0","8463.0","8891.0","10525.0","9518.0","8515.0","8063.0","7902.0","7561.0","6369.0","5703.0","3934.0","2060.0","977.0"
"00FC","NORTH EAST LINCOLNSHIRE UA","78477.0","1256.0","4490.0","5092.0","6156.0","6281.0","6359.0","6008.0","5292.0","5837.0","4957.0","4582.0","4407.0","4299.0","4288.0","3437.0","2738.0","1767.0","857.0","374.0"
"00FD","NORTH LINCOLNSHIRE UA","74348.0","1037.0","3961.0","5021.0","5673.0","5731.0","5713.0","5439.0","4985.0","5822.0","4960.0","4550.0","4194.0","4276.0","4192.0","3292.0","2565.0","1715.0","878.0","344.0"
"00FF","YORK UA","82431.0","1043.0","4101.0","4745.0","5145.0","7667.0","7217.0","6539.0","5680.0","6263.0","5209.0","4670.0","4408.0","4396.0","4467.0","3701.0","3145.0","2265.0","1212.0","558.0"
"00FK","DERBY UA","106685.0","1572.0","6049.0","6998.0","7857.0","8598.0","9524.0","8040.0","6963.0","7330.0","6381.0","5783.0","5804.0","6155.0","6115.0","4920.0","3965.0","2653.0","1371.0","607.0"
"00FN","LEICESTER UA","137308.0","2377.0","8796.0","9481.0","9081.0","12861.0","13663.0","11260.0","10011.0","8849.0","7157.0","6583.0","6501.0","6937.0","7226.0","5651.0","4658.0","3422.0","1950.0","844.0"
