"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","56357464.0","729873.0","2726456.0","3677433.0","4469723.0","4734673.0","4284277.0","3828240.0","4181986.0","3589054.0","3184588.0","3089702.0","3179331.0","3271076.0","2935420.0","2800982.0","2393814.0","1708676.0","968806.0","603354.0"
"","GREAT BRITAIN","54814500.0","702624.0","2620914.0","3544003.0","4321384.0","4589053.0","4159133.0","3726842.0","4083333.0","3495492.0","3103435.0","3013316.0","3103596.0","3196312.0","2867089.0","2738072.0","2340686.0","1672967.0","947036.0","589213.0"
"","ENGLAND & WALES","49634300.0","634095.0","2371535.0","3196290.0","3888672.0","4129739.0","3743701.0","3371525.0","3714932.0","3185324.0","2810693.0","2722752.0","2808927.0","2901332.0","2606668.0","2489920.0","2129292.0","1523855.0","864505.0","540543.0"
"","ENGLAND","46820805.0","598220.0","2235182.0","3011205.0","3666389.0","3896790.0","3542758.0","3191030.0","3512383.0","3009432.0","2653556.0","2569665.0","2649167.0","2728712.0","2448681.0","2342414.0","2004527.0","1434723.0","814658.0","511313.0"
"","WALES","2813495.0","35875.0","136353.0","185085.0","222283.0","232949.0","200943.0","180495.0","202549.0","175892.0","157137.0","153087.0","159760.0","172620.0","157987.0","147506.0","124765.0","89132.0","49847.0","29230.0"
"","SCOTLAND","5180200.0","68529.0","249379.0","347713.0","432712.0","459314.0","415432.0","355317.0","368401.0","310168.0","292742.0","290564.0","294669.0","294980.0","260421.0","248152.0","211394.0","149112.0","82531.0","48670.0"
"","NORTHERN IRELAND","1542964.0","27249.0","105542.0","133430.0","148339.0","145620.0","125144.0","101398.0","98653.0","93562.0","81153.0","76386.0","75735.0","74764.0","68331.0","62910.0","53128.0","35709.0","21770.0","14141.0"
"A","NORTH EAST","2636194.0","34348.0","129932.0","171959.0","210789.0","221158.0","205167.0","180449.0","193010.0","157412.0","148751.0","149108.0","156718.0","162911.0","141658.0","126314.0","105968.0","75664.0","41572.0","23306.0"
"B","NORTH WEST","6940324.0","90239.0","336925.0","460835.0","570126.0","582363.0","518978.0","456666.0","505681.0","428109.0","392962.0","379815.0","394571.0","408369.0","363976.0","349181.0","300127.0","212464.0","118965.0","69972.0"
"D","YORKSHIRE AND THE HUMBER","4918532.0","62901.0","234774.0","325350.0","401755.0","412875.0","374482.0","326632.0","361061.0","303770.0","277105.0","269307.0","276274.0","289778.0","258844.0","247460.0","210243.0","150603.0","85062.0","50256.0"
"E","EAST MIDLANDS","3852683.0","49325.0","190044.0","259482.0","313799.0","319599.0","282541.0","259437.0","295898.0","258363.0","219443.0","210469.0","216614.0","223796.0","198446.0","185937.0","157466.0","110765.0","63031.0","38228.0"
"F","WEST MIDLANDS","5186641.0","68318.0","256438.0","351671.0","436679.0","437117.0","386208.0","348585.0","380278.0","344271.0","303215.0","288933.0","300838.0","306143.0","272430.0","245918.0","199449.0","139480.0","75997.0","44673.0"
"G","EASTERN","4854992.0","63276.0","243486.0","329002.0","383920.0","397518.0","347414.0","327459.0","383885.0","330880.0","280139.0","270276.0","274559.0","275464.0","244587.0","234652.0","197882.0","139616.0","79371.0","51606.0"
"H","LONDON","6805000.0","88451.0","308665.0","380386.0","467071.0","525578.0","596579.0","543135.0","529387.0","421593.0","379162.0","371228.0","386323.0","401555.0","357928.0","344267.0","294175.0","209944.0","120583.0","78990.0"
"J","SOUTH EAST","7243055.0","90634.0","341182.0","462819.0","553534.0","631856.0","525370.0","474910.0","550040.0","485147.0","412900.0","396884.0","399857.0","403010.0","367604.0","360664.0","319544.0","236078.0","137460.0","93562.0"
"K","SOUTH WEST","4383384.0","50728.0","193736.0","269701.0","328716.0","368726.0","306019.0","273757.0","313143.0","279887.0","239879.0","233645.0","243413.0","257686.0","243208.0","248021.0","219673.0","160109.0","92617.0","60720.0"
