"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"00FA","KINGSTON UPON HULL, CITY OF UA","265980.0","4004.0","14271.0","16263.0","18344.0","24342.0","25401.0","20650.0","16991.0","17591.0","13775.0","13103.0","13549.0","14108.0","14475.0","12248.0","10850.0","8187.0","4837.0","2991.0"
"00FB","EAST RIDING OF YORKSHIRE UA","276345.0","3094.0","12547.0","16422.0","19569.0","19278.0","17667.0","17132.0","17952.0","21519.0","19059.0","16935.0","16159.0","16185.0","15866.0","13983.0","12977.0","9916.0","6202.0","3883.0"
"00FC","NORTH EAST LINCOLNSHIRE UA","160996.0","2349.0","8828.0","10087.0","11798.0","12766.0","12982.0","11947.0","10465.0","11491.0","9748.0","9087.0","8745.0","8718.0","8698.0","7485.0","6514.0","4817.0","2777.0","1694.0"
"00FD","NORTH LINCOLNSHIRE UA","150071.0","1957.0","7786.0","9700.0","11092.0","11066.0","11349.0","10668.0","9963.0","11595.0","9872.0","8787.0","8313.0","8512.0","8431.0","7005.0","5753.0","4235.0","2559.0","1428.0"
"00FF","YORK UA","170129.0","2036.0","7906.0","9303.0","9938.0","14946.0","14604.0","12820.0","11237.0","12545.0","10428.0","9402.0","8976.0","9157.0","9464.0","8120.0","7515.0","5934.0","3600.0","2198.0"
"00FK","DERBY UA","218580.0","3179.0","11825.0","13777.0","15027.0","17431.0","19084.0","16328.0","13786.0","14580.0","12617.0","11573.0","11529.0","12286.0","12395.0","10406.0","9025.0","7015.0","4222.0","2495.0"
"00FN","LEICESTER UA","283038.0","4629.0","17287.0","18496.0","17729.0","26612.0","27332.0","22818.0","19468.0","17450.0","14121.0","13091.0","13178.0","14180.0","14519.0","12184.0","11040.0","9081.0","5968.0","3855.0"
"00FP","RUTLAND UA","33440.0","404.0","1544.0","2100.0","1898.0","3952.0","2520.0","2398.0","2329.0","2612.0","2397.0","1977.0","1762.0","1647.0","1543.0","1324.0","1158.0","895.0","547.0","433.0"
"00FY","NOTTINGHAM UA","279151.0","4024.0","14465.0","15432.0","16521.0","28200.0","30875.0","21729.0","17222.0","16546.0","14031.0","13472.0","13752.0","15083.0","15521.0","13000.0","11634.0","9058.0","5286.0","3300.0"
"00GA","HEREFORDSHIRE UA","153916.0","1802.0","7193.0","8737.0","10203.0","11478.0","10882.0","10533.0","9862.0","11420.0","9900.0","8750.0","8393.0","8830.0","9081.0","7973.0","7369.0","5595.0","3672.0","2243.0"
"00GF","TELFORD AND WREKIN UA","131522.0","1942.0","7624.0","9367.0","10411.0","11105.0","11023.0","9788.0","9475.0","10655.0","9126.0","7553.0","6429.0","6062.0","5737.0","4917.0","4326.0","3145.0","1789.0","1048.0"
"00GL","STOKE-ON-TRENT UA","248064.0","3301.0","12803.0","14630.0","16375.0","19331.0","20154.0","18489.0","16196.0","17372.0","14686.0","13160.0","13284.0","14701.0","15257.0","12743.0","10781.0","7865.0","4397.0","2539.0"
"00HA","BATH & NORTH EAST SOMERSET UA","161470.0","1761.0","6797.0","8519.0","9035.0","14604.0","13116.0","11064.0","10005.0","11426.0","10039.0","8899.0","8810.0","9236.0","9454.0","8499.0","7552.0","6043.0","3843.0","2768.0"
"00HB","BRISTOL, CITY OF UA","399607.0","5503.0","19293.0","21825.0","20740.0","33964.0","41632.0","32758.0","26982.0","26901.0","22528.0","19683.0","19458.0","20829.0","21910.0","19444.0","17646.0","13744.0","8781.0","5986.0"
"00HC","NORTH SOMERSET UA","174105.0","1980.0","8171.0","10293.0","11895.0","12827.0","11535.0","10671.0","11200.0","13514.0","11931.0","9953.0","9202.0","9018.0","9938.0","9100.0","8442.0","6748.0","4595.0","3092.0"
"00HD","SOUTH GLOUCESTERSHIRE UA","211982.0","2705.0","10573.0","13554.0","15284.0","16261.0","16921.0","16127.0","15012.0","17300.0","15402.0","13203.0","12267.0","11333.0","10257.0","8215.0","7045.0","5302.0","3164.0","2057.0"
"00HG","PLYMOUTH UA","257057.0","3463.0","13006.0","15368.0","15370.0","23242.0","26060.0","21278.0","16916.0","18316.0","15081.0","12959.0","12614.0","12532.0","12809.0","11662.0","10377.0","8020.0","4730.0","3254.0"
"00HH","TORBAY UA","118306.0","1286.0","4662.0","5845.0","6696.0","7696.0","7714.0","6566.0","6496.0","7767.0","7078.0","6323.0","6253.0","6394.0","7361.0","7595.0","7940.0","6837.0","4684.0","3113.0"
"00HN","BOURNEMOUTH UA","154260.0","1515.0","5814.0","6751.0","7464.0","12358.0","11611.0","9795.0","8689.0","9218.0","8233.0","7617.0","7778.0","8743.0","9715.0","9495.0","10032.0","8693.0","6199.0","4540.0"
"00HP","POOLE UA","127058.0","1531.0","5763.0","6990.0","7767.0","8514.0","9831.0","8637.0","7690.0","9235.0","7917.0","6741.0","6815.0","6972.0","7285.0","7031.0","6758.0","5490.0","3729.0","2362.0"
"00HX","SWINDON UA","162747.0","2366.0","9048.0","10222.0","11330.0","11955.0","15438.0","14269.0","12023.0","11756.0","9951.0","8821.0","8324.0","8551.0","8366.0","6521.0","5461.0","4069.0","2643.0","1633.0"
"00JA","PETERBOROUGH UA","147987.0","2276.0","8996.0","10726.0","10426.0","12018.0","13173.0","12112.0","10770.0","10981.0","8695.0","7586.0","7552.0","7302.0","7016.0","6054.0","5026.0","3764.0","2231.0","1283.0"
"00KA","LUTON UA","166739.0","2967.0","10499.0","11914.0","11563.0","13213.0","15948.0","14477.0","11662.0","11533.0","9940.0","9342.0","8766.0","8271.0","7275.0","5910.0","5520.0","4101.0","2452.0","1386.0"
"00KF","SOUTHEND UA","156574.0","2054.0","7260.0","8543.0","9170.0","10234.0","11819.0","10329.0","9478.0","10742.0","9103.0","7593.0","7705.0","8559.0","9396.0","9311.0","9290.0","7487.0","4977.0","3524.0"
"00KG","THURROCK UA","124408.0","1842.0","6705.0","8134.0","9114.0","9518.0","10638.0","9727.0","8503.0","10088.0","8035.0","6645.0","6242.0","6862.0","7174.0","5419.0","4165.0","2854.0","1728.0","1015.0"
"00LC","MEDWAY UA","240972.0","3714.0","14257.0","16769.0","16966.0","17421.0","22693.0","20622.0","17807.0","19580.0","15594.0","12982.0","11748.0","11026.0","10758.0","9494.0","8073.0","5886.0","3443.0","2139.0"
"00MA","BRACKNELL FOREST UA","88109.0","1361.0","5338.0","6340.0","5822.0","7097.0","7963.0","8040.0","7101.0","7464.0","6066.0","4757.0","4302.0","3983.0","3616.0","2859.0","2348.0","1796.0","1185.0","671.0"
"00MB","WEST BERKSHIRE UA","132883.0","1877.0","7076.0","9049.0","8809.0","11540.0","11134.0","10603.0","10256.0","11083.0","9404.0","7452.0","6745.0","6246.0","5873.0","4876.0","4265.0","3328.0","1982.0","1285.0"
