"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","56916448.0","778213.0","2957853.0","3605943.0","3388393.0","4218784.0","4689856.0","4454699.0","3889680.0","3844894.0","3999579.0","3196383.0","3047101.0","3000803.0","2954787.0","2872368.0","2184565.0","1860094.0","1191790.0","780663.0"
"","GREAT BRITAIN","55331008.0","750845.0","2849979.0","3473953.0","3262520.0","4081425.0","4557122.0","4334558.0","3784108.0","3747522.0","3903593.0","3113136.0","2971582.0","2927834.0","2884400.0","2806686.0","2133647.0","1818213.0","1166288.0","763597.0"
"","ENGLAND & WALES","50253568.0","684615.0","2593749.0","3151911.0","2952013.0","3689442.0","4127679.0","3931447.0","3428390.0","3411727.0","3567641.0","2825149.0","2690718.0","2649932.0","2617295.0","2558712.0","1945108.0","1660072.0","1066952.0","701016.0"
"","ENGLAND","47412342.0","646354.0","2445604.0","2971326.0","2780248.0","3480378.0","3912696.0","3723652.0","3249284.0","3222424.0","3371281.0","2662806.0","2536541.0","2496101.0","2456594.0","2401763.0","1825597.0","1562973.0","1005487.0","661233.0"
"","WALES","2841226.0","38261.0","148145.0","180585.0","171765.0","209064.0","214983.0","207795.0","179106.0","189303.0","196360.0","162343.0","154177.0","153831.0","160701.0","156949.0","119511.0","97099.0","61465.0","39783.0"
"","SCOTLAND","5077440.0","66230.0","256230.0","322042.0","310507.0","391983.0","429443.0","403111.0","355718.0","335795.0","335952.0","287987.0","280864.0","277902.0","267105.0","247974.0","188539.0","158141.0","99336.0","62581.0"
"","NORTHERN IRELAND","1585440.0","27368.0","107874.0","131990.0","125873.0","137359.0","132734.0","120141.0","105572.0","97372.0","95986.0","83247.0","75519.0","72969.0","70387.0","65682.0","50918.0","41881.0","25502.0","17066.0"
"A","NORTH EAST","2582285.0","34367.0","135960.0","167199.0","159548.0","186426.0","204480.0","198975.0","176646.0","172578.0","176331.0","143309.0","143377.0","145120.0","144208.0","137253.0","97454.0","79104.0","49415.0","30535.0"
"B","NORTH WEST","6811642.0","95469.0","365189.0","440093.0","420403.0","501258.0","544698.0","518815.0","451788.0","451033.0","475097.0","382859.0","370336.0","366092.0","360339.0","348893.0","262965.0","223766.0","142162.0","90387.0"
"D","YORKSHIRE AND THE HUMBER","4888711.0","67233.0","254750.0","307986.0","296807.0","369778.0","400133.0","373316.0","327206.0","326014.0","340284.0","272490.0","263666.0","260142.0","258089.0","252097.0","189774.0","160535.0","102404.0","66007.0"
