"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","28944248.0","348286.0","1396692.0","1636271.0","2053116.0","2302809.0","2219362.0","1929264.0","1911970.0","2003413.0","1611627.0","1551499.0","1570211.0","1608122.0","1677373.0","1414561.0","1388608.0","1109191.0","721225.0","490648.0"
"","GREAT BRITAIN","28152701.0","335299.0","1343865.0","1574416.0","1984065.0","2230650.0","2157751.0","1877429.0","1864037.0","1955084.0","1568762.0","1512091.0","1530980.0","1569262.0","1638727.0","1381451.0","1357043.0","1085762.0","706126.0","479901.0"
"","ENGLAND & WALES","25483656.0","303600.0","1215514.0","1421170.0","1787938.0","2008883.0","1946251.0","1694618.0","1692696.0","1783961.0","1419314.0","1364332.0","1380459.0","1419186.0","1487736.0","1252840.0","1232704.0","987872.0","644215.0","440367.0"
"","ENGLAND","24037873.0","286264.0","1146747.0","1339209.0","1685043.0","1894829.0","1837857.0","1606963.0","1600348.0","1686939.0","1339660.0","1287856.0","1302502.0","1335397.0","1398623.0","1176553.0","1159878.0","929695.0","607176.0","416334.0"
"","WALES","1445783.0","17336.0","68767.0","81961.0","102895.0","114054.0","108394.0","87655.0","92348.0","97022.0","79654.0","76476.0","77957.0","83789.0","89113.0","76287.0","72826.0","58177.0","37039.0","24033.0"
"","SCOTLAND","2669045.0","31699.0","128351.0","153246.0","196127.0","221767.0","211500.0","182811.0","171341.0","171123.0","149448.0","147759.0","150521.0","150076.0","150991.0","128611.0","124339.0","97890.0","61911.0","39534.0"
"","NORTHERN IRELAND","791547.0","12987.0","52827.0","61855.0","69051.0","72159.0","61611.0","51835.0","47933.0","48329.0","42865.0","39408.0","39231.0","38860.0","38646.0","33110.0","31565.0","23429.0","15099.0","10747.0"
"A","NORTH EAST","1343729.0","16175.0","65897.0","76927.0","96629.0","107225.0","105041.0","89500.0","88096.0","88931.0","73314.0","73815.0","76552.0","78892.0","81413.0","64814.0","61744.0","49101.0","31020.0","18643.0"
"B","NORTH WEST","3552846.0","43426.0","171400.0","202854.0","258682.0","283596.0","269609.0","228408.0","227817.0","239002.0","195268.0","189412.0","192905.0","199646.0","209643.0","176862.0","175680.0","140790.0","90750.0","57096.0"
"D","YORKSHIRE AND THE HUMBER","2515626.0","30058.0","119572.0","143022.0","184042.0","202541.0","193725.0","164151.0","162828.0","169944.0","137910.0","135233.0","136747.0","140285.0","146747.0","123941.0","122078.0","98053.0","63603.0","41146.0"
"E","EAST MIDLANDS","1962003.0","23263.0","96231.0","115403.0","144765.0","155273.0","147560.0","130976.0","133582.0","143407.0","111471.0","105148.0","105815.0","107944.0","112245.0","92711.0","89810.0","70531.0","45513.0","30355.0"
"F","WEST MIDLANDS","2629078.0","32750.0","130433.0","154964.0","198930.0","214811.0","200187.0","173466.0","172252.0","187253.0","151288.0","143628.0","144654.0","147953.0","153710.0","123122.0","115981.0","90386.0","57125.0","36185.0"
"G","EASTERN","2496140.0","29499.0","125000.0","148389.0","180084.0","194306.0","181615.0","165258.0","174365.0","187188.0","144063.0","136107.0","135377.0","135220.0","139784.0","117202.0","113731.0","89345.0","58139.0","41468.0"
"H","LONDON","3504461.0","44661.0","162598.0","170329.0","213088.0","262667.0","306318.0","276931.0","247918.0","240593.0","189341.0","181722.0","187368.0","193831.0","199115.0","167548.0","167822.0","136148.0","90597.0","65866.0"
"J","SOUTH EAST","3747146.0","42001.0","175100.0","207151.0","256983.0","299239.0","273382.0","238365.0","249214.0","273053.0","213112.0","202522.0","200593.0","201896.0","213311.0","184047.0","185635.0","152742.0","102589.0","76211.0"
"K","SOUTH WEST","2286844.0","24431.0","100516.0","120170.0","151840.0","175171.0","160420.0","139908.0","144276.0","157568.0","123893.0","120269.0","122491.0","129730.0","142655.0","126306.0","127397.0","102599.0","67840.0","49364.0"
"W","WALES","1445783.0","17336.0","68767.0","81961.0","102895.0","114054.0","108394.0","87655.0","92348.0","97022.0","79654.0","76476.0","77957.0","83789.0","89113.0","76287.0","72826.0","58177.0","37039.0","24033.0"
"00EB","HARTLEPOOL UA","47890.0","610.0","2508.0","2830.0","3667.0","4135.0","3854.0","3201.0","3053.0","2989.0","2614.0","2751.0","2752.0","2748.0","2768.0","2122.0","1984.0","1660.0","1031.0","613.0"
"00EC","MIDDLESBROUGH UA","75848.0","1091.0","4293.0","4777.0","6022.0","6915.0","6777.0","5628.0","4865.0","4542.0","3881.0","4021.0","4132.0","4300.0","4198.0","3088.0","2881.0","2252.0","1388.0","797.0"
"00EE","REDCAR & CLEVELAND UA","76601.0","957.0","4086.0","4847.0","6286.0","6608.0","5879.0","4958.0","5185.0","5565.0","4591.0","4277.0","4137.0","4172.0","4191.0","3315.0","2947.0","2240.0","1457.0","903.0"
"00EF","STOCKTON-ON-TEES UA","88267.0","1205.0","5011.0","5719.0","6784.0","7193.0","7287.0","6626.0","6367.0","6157.0","4928.0","4934.0","4963.0","4897.0","4669.0","3456.0","3199.0","2417.0","1528.0","927.0"
"00EH","DARLINGTON UA","51284.0","585.0","2364.0","2827.0","3520.0","3934.0","3833.0","3397.0","3400.0","3443.0","2844.0","2730.0","2820.0","3047.0","3148.0","2605.0","2582.0","2068.0","1294.0","843.0"
"00ET","HALTON UA","62930.0","867.0","3734.0","4547.0","5317.0","5273.0","4946.0","4646.0","4742.0","4467.0","3292.0","3147.0","3151.0","3151.0","3339.0","2592.0","2371.0","1779.0","1033.0","536.0"
"00EU","WARRINGTON UA","87826.0","1140.0","4404.0","5300.0","6604.0","7128.0","6731.0","5848.0","6005.0","6593.0","5500.0","4816.0","4606.0","4594.0","4833.0","3988.0","3754.0","2961.0","1883.0","1138.0"
"00EX","BLACKBURN WITH DARWEN UA","72801.0","1116.0","4326.0","4830.0","5767.0","5711.0","5618.0","4998.0","4491.0","4448.0","3500.0","3587.0","3563.0","3797.0","3868.0","3444.0","3651.0","2934.0","1960.0","1192.0"
"00EY","BLACKPOOL UA","79330.0","771.0","2662.0","3205.0","4486.0","5399.0","5259.0","4213.0","4237.0","4705.0","4169.0","4219.0","4455.0","5067.0","5675.0","5314.0","5595.0","4684.0","3175.0","2040.0"
"00FA","KINGSTON UPON HULL, CITY OF UA","139950.0","1797.0","7012.0","8383.0","10618.0","12403.0","12315.0","9664.0","8820.0","8199.0","6618.0","7008.0","7396.0","7783.0","8058.0","6722.0","6601.0","5159.0","3302.0","2092.0"
"00FB","EAST RIDING OF YORKSHIRE UA","140232.0","1378.0","6064.0","7976.0","9988.0","10428.0","9007.0","7904.0","9331.0","10429.0","8453.0","8171.0","8102.0","8017.0","8409.0","7340.0","7196.0","5723.0","3716.0","2600.0"
"00FC","NORTH EAST LINCOLNSHIRE UA","82943.0","1047.0","4225.0","4984.0","6567.0","7130.0","6550.0","5483.0","5284.0","5451.0","4568.0","4554.0","4479.0","4424.0","4638.0","3944.0","3797.0","2909.0","1768.0","1141.0"
"00FD","NORTH LINCOLNSHIRE UA","75408.0","923.0","3747.0","4665.0","6018.0","6103.0","5476.0","4881.0","5133.0","5631.0","4459.0","4260.0","4247.0","4282.0","4287.0","3404.0","3118.0","2383.0","1461.0","930.0"
"00FF","YORK UA","86521.0","944.0","3808.0","4253.0","5766.0","7368.0","7001.0","5724.0","5647.0","5896.0","4754.0","4655.0","4722.0","4865.0","5077.0","4409.0","4422.0","3527.0","2189.0","1494.0"
"00FK","DERBY UA","110399.0","1455.0","5688.0","6548.0","8263.0","9098.0","8781.0","7371.0","6712.0","7072.0","5825.0","5813.0","6104.0","6318.0","6397.0","5234.0","5219.0","4135.0","2622.0","1744.0"
"00FN","LEICESTER UA","145431.0","2187.0","8070.0","8323.0","10721.0","12460.0","13486.0","11127.0","9075.0","8215.0","6668.0","6812.0","7350.0","7626.0","7802.0","6468.0","6717.0","5686.0","3902.0","2736.0"
"00FP","RUTLAND UA","15608.0","197.0","732.0","850.0","1106.0","1820.0","1030.0","923.0","1003.0","1193.0","977.0","883.0","815.0","788.0","825.0","694.0","667.0","507.0","343.0","255.0"
"00FY","NOTTINGHAM UA","142000.0","1807.0","6590.0","7559.0","10426.0","12959.0","13282.0","9962.0","8190.0","7876.0","6724.0","7093.0","7682.0","8094.0","8302.0","6915.0","7026.0","5546.0","3518.0","2449.0"
"00GA","HEREFORDSHIRE UA","76573.0","853.0","3500.0","4266.0","5436.0","5891.0","5187.0","4647.0","4897.0","5364.0","4267.0","4148.0","4277.0","4479.0","4698.0","4052.0","3924.0","3113.0","2113.0","1461.0"
"00GF","TELFORD AND WREKIN UA","64820.0","949.0","3730.0","4602.0","5666.0","5512.0","5088.0","4631.0","4855.0","5153.0","3907.0","3369.0","3060.0","2936.0","3029.0","2490.0","2305.0","1812.0","1078.0","648.0"
"00GL","STOKE-ON-TRENT UA","128676.0","1650.0","6227.0","7094.0","9163.0","9606.0","9813.0","8701.0","8165.0","8195.0","6658.0","6721.0","7362.0","7921.0","8304.0","6855.0","6540.0","5024.0","2970.0","1707.0"
"00HA","BATH & NORTH EAST SOMERSET UA","83877.0","782.0","3301.0","3963.0","5359.0","6962.0","6609.0","5187.0","5219.0","5538.0","4530.0","4479.0","4831.0","4981.0","5284.0","4433.0","4379.0","3632.0","2478.0","1930.0"
"00HB","BRISTOL, CITY OF UA","207010.0","2444.0","9311.0","9987.0","12806.0","17243.0","18980.0","15321.0","13199.0","12828.0","10058.0","9922.0","10596.0","11620.0","12669.0","10565.0","10486.0","8620.0","5979.0","4376.0"
"00HC","NORTH SOMERSET UA","86698.0","897.0","3747.0","4684.0","6042.0","6422.0","5369.0","4667.0","5564.0","6489.0","5103.0","4692.0","4424.0","4732.0","5377.0","4748.0","4844.0","4076.0","2747.0","2074.0"
"00HD","SOUTH GLOUCESTERSHIRE UA","104502.0","1168.0","5207.0","6433.0","8160.0","8677.0","7797.0","7288.0","7683.0","8692.0","6837.0","6373.0","5845.0","5390.0","5204.0","4023.0","3717.0","2874.0","1813.0","1321.0"
"00HG","PLYMOUTH UA","126886.0","1661.0","6325.0","7211.0","9096.0","9925.0","10430.0","9167.0","8406.0","8558.0","6717.0","6412.0","6472.0","6712.0","7388.0","6195.0","6105.0","4912.0","3078.0","2116.0"
"00HH","TORBAY UA","61803.0","526.0","2194.0","2608.0","3410.0","3946.0","3442.0","3031.0","3258.0","3804.0","3064.0","3142.0","3202.0","3547.0","4282.0","4410.0","4851.0","4262.0","2871.0","1953.0"
"00HN","BOURNEMOUTH UA","80189.0","591.0","2461.0","2868.0","4151.0","5568.0","5204.0","4087.0","4003.0","4265.0","3578.0","3901.0","4331.0","4866.0","5513.0","5553.0","6312.0","5636.0","4051.0","3250.0"
"00HP","POOLE UA","63838.0","584.0","2618.0","3308.0","4061.0","4250.0","4182.0","3559.0","3954.0","4398.0","3472.0","3395.0","3475.0","3591.0","4083.0","3834.0","4009.0","3305.0","2158.0","1602.0"
"00HX","SWINDON UA","78844.0","1074.0","4036.0","4764.0","5844.0","6467.0","6975.0","6290.0","5419.0","5480.0","4420.0","4284.0","4282.0","4341.0","4106.0","3136.0","2926.0","2387.0","1569.0","1044.0"
"00JA","PETERBOROUGH UA","70156.0","1011.0","4298.0","4726.0","5421.0","5811.0","5829.0","5414.0","4961.0","4905.0","3768.0","3709.0","3688.0","3514.0","3488.0","2797.0","2659.0","2038.0","1270.0","849.0"
"00KA","LUTON UA","82916.0","1336.0","5071.0","5242.0","6348.0","7095.0","7359.0","6562.0","5707.0","5780.0","4701.0","4538.0","4252.0","3950.0","3777.0","3221.0","3163.0","2383.0","1507.0","924.0"
"00KF","SOUTHEND UA","83626.0","828.0","3513.0","4031.0","4971.0","5274.0","5463.0","4802.0","4845.0","5201.0","3975.0","3833.0","4328.0","4830.0","5883.0","5544.0","5690.0","4681.0","3354.0","2580.0"
"00KG","THURROCK UA","63539.0","804.0","3460.0","4201.0","4869.0","4983.0","4828.0","4592.0","4858.0","4799.0","3512.0","3296.0","3527.0","3919.0","3713.0","2573.0","2205.0","1652.0","1052.0","696.0"
"00LC","MEDWAY UA","120564.0","1704.0","7136.0","7986.0","9115.0","9122.0","9908.0","9705.0","9275.0","9175.0","6820.0","6241.0","5826.0","5759.0","6114.0","4940.0","4547.0","3443.0","2235.0","1513.0"
"00MA","BRACKNELL FOREST UA","42071.0","669.0","2617.0","2843.0","3120.0","3407.0","3624.0","3482.0","3399.0","3440.0","2577.0","2289.0","2131.0","1987.0","1787.0","1339.0","1237.0","1028.0","652.0","443.0"
"00MB","WEST BERKSHIRE UA","60360.0","766.0","3293.0","3964.0","4744.0","4965.0","4182.0","4231.0","4644.0","4996.0","3657.0","3294.0","3122.0","3019.0","3000.0","2361.0","2326.0","1780.0","1149.0","867.0"
"00MC","READING UA","69971.0","916.0","3418.0","3593.0","4642.0","6398.0","7053.0","5742.0","4676.0","4461.0","3592.0","3538.0","3482.0","3489.0","3624.0","3062.0","3027.0","2437.0","1619.0","1202.0"
"00MD","SLOUGH UA","51190.0","815.0","3102.0","3148.0","3665.0","4031.0","4517.0","4261.0","3649.0","3301.0","2582.0","2560.0","2811.0","2868.0","2909.0","2132.0","1944.0","1413.0","867.0","615.0"
"00ME","WINDSOR AND MAIDENHEAD UA","70481.0","749.0","3454.0","3981.0","4941.0","5823.0","4992.0","4575.0","5019.0","5514.0","4401.0","4257.0","4143.0","3889.0","3766.0","3024.0","2868.0","2298.0","1532.0","1255.0"
"00MF","WOKINGHAM UA","60959.0","732.0","3152.0","3988.0","4919.0","5669.0","5032.0","3984.0","4550.0","5564.0","4320.0","3768.0","3247.0","2736.0","2516.0","1922.0","1769.0","1405.0","922.0","764.0"
"00MG","MILTON KEYNES UA","69055.0","1177.0","5196.0","5578.0","5568.0","5279.0","5978.0","6454.0","6158.0","5701.0","3782.0","3026.0","2649.0","2569.0","2569.0","2176.0","2020.0","1507.0","929.0","739.0"
"00ML","BRIGHTON AND HOVE UA","127815.0","1136.0","4460.0","4793.0","6487.0","9515.0","9757.0","8042.0","7569.0","7622.0","6083.0","6001.0","6443.0","7097.0","8199.0","8028.0","8863.0","7845.0","5569.0","4306.0"
"00MR","PORTSMOUTH UA","93168.0","1082.0","4229.0","4326.0","5561.0","7056.0","8381.0","6794.0","5639.0","5635.0","4602.0","4438.0","4565.0","5097.0","5949.0","5169.0","5172.0","4333.0","2891.0","2249.0"
"00MS","SOUTHAMPTON UA","105812.0","1300.0","5103.0","5793.0","7268.0","8903.0","9437.0","7399.0","6864.0","6871.0","5305.0","5240.0","5543.0","5823.0","6290.0","5177.0","4896.0","3947.0","2717.0","1936.0"
"00MW","ISLE OF WIGHT UA","63043.0","569.0","2361.0","2995.0","3953.0","4455.0","3467.0","3021.0","3459.0","4126.0","3198.0","3284.0","3384.0","3763.0","4615.0","4412.0","4465.0","3568.0","2312.0","1636.0"
"00NA","ISLE OF ANGLESEY UA","34672.0","432.0","1787.0","2323.0","2785.0","2524.0","2314.0","2062.0","2285.0","2419.0","1926.0","1781.0","1793.0","1842.0","2017.0","1797.0","1729.0","1362.0","887.0","607.0"
"00NC","GWYNEDD UA","58346.0","653.0","2405.0","3064.0","3894.0","4476.0","4496.0","3239.0","3207.0","3542.0","3037.0","3073.0","3242.0","3457.0","3640.0","3383.0","3464.0","2886.0","1914.0","1274.0"
"00NE","CONWY UA","53522.0","447.0","2087.0","2462.0","3123.0","3864.0","3231.0","2479.0","2812.0","3051.0","2616.0","2689.0","2843.0","3089.0","3529.0","3574.0","4002.0","3559.0","2426.0","1639.0"
"00NG","DENBIGHSHIRE UA","44938.0","453.0","1676.0","2160.0","2911.0","3505.0","2819.0","2207.0","2528.0","2787.0","2342.0","2313.0","2320.0","2561.0","2891.0","2953.0","3151.0","2570.0","1632.0","1159.0"
"00NJ","FLINTSHIRE UA","70689.0","866.0","3594.0","4503.0","5647.0","5768.0","5162.0","4554.0","5187.0","5484.0","4351.0","3682.0","3530.0","3525.0","3813.0","3357.0","3134.0","2290.0","1381.0","861.0"
"00NL","WREXHAM UA","62384.0","777.0","3213.0","3819.0","4841.0","4821.0","4441.0","3852.0","4229.0","4422.0","3522.0","3192.0","3312.0","3494.0","3723.0","3139.0","2825.0","2304.0","1492.0","966.0"
"00NN","POWYS UA","56275.0","653.0","2541.0","3146.0","3903.0","4106.0","3703.0","3184.0","3547.0","3859.0","3132.0","3127.0","3162.0","3371.0","3602.0","3173.0","3031.0","2422.0","1560.0","1053.0"
"00NQ","CEREDIGION UA","31921.0","309.0","1337.0","1499.0","1862.0","2924.0","3094.0","1781.0","1821.0","1983.0","1649.0","1548.0","1578.0","1749.0","2041.0","1863.0","1822.0","1465.0","949.0","647.0"
"00NS","PEMBROKESHIRE UA","55570.0","699.0","2805.0","3302.0","3977.0","4320.0","3979.0","3253.0","3550.0","3870.0","3179.0","3140.0","3125.0","3147.0","3382.0","2912.0","2701.0","2061.0","1296.0","872.0"
"00NU","CARMARTHENSHIRE UA","84754.0","922.0","3682.0","4378.0","5489.0","5885.0","5565.0","4658.0","5016.0","5555.0","4617.0","4639.0","4929.0","5486.0","6022.0","5244.0","4989.0","3800.0","2386.0","1492.0"
"00NX","SWANSEA UA","117271.0","1428.0","5555.0","6546.0","8003.0","9085.0","9042.0","7083.0","7470.0","7740.0","6480.0","6331.0","6503.0","6795.0","7269.0","6273.0","6004.0","4744.0","3029.0","1891.0"
"00NZ","NEATH PORT TALBOT UA","72743.0","788.0","3452.0","3994.0","4897.0","5459.0","5312.0","4294.0","4598.0","4830.0","4037.0","3849.0","4065.0","4536.0","4867.0","4060.0","3918.0","2997.0","1788.0","1002.0"
"00PB","BRIDGEND UA","64827.0","780.0","3109.0","3863.0","4909.0","5136.0","4735.0","4014.0","4229.0","4500.0","3803.0","3565.0","3472.0","3704.0","3915.0","3305.0","3022.0","2403.0","1477.0","886.0"
"00PD","THE VALE OF GLAMORGAN UA","58912.0","797.0","3031.0","3552.0","4224.0","4596.0","4593.0","3738.0","4015.0","4241.0","3464.0","3141.0","3120.0","3312.0","3251.0","2775.0","2516.0","2045.0","1435.0","1066.0"
"00PF","RHONDDA, CYNON, TAFF UA","121141.0","1516.0","5980.0","7202.0","8837.0","9416.0","9034.0","7476.0","7977.0","8223.0","6561.0","6273.0","6338.0","7241.0","7827.0","6357.0","5862.0","4660.0","2768.0","1593.0"
"00PH","MERTHYR TYDFIL UA","30985.0","409.0","1486.0","1732.0","2268.0","2537.0","2373.0","1909.0","1907.0","1893.0","1635.0","1608.0","1642.0","1868.0","2064.0","1642.0","1525.0","1234.0","773.0","480.0"
"00PK","CAERPHILLY UA","87581.0","1204.0","4738.0","5553.0","6880.0","6992.0","6580.0","5872.0","6219.0","6323.0","5015.0","4756.0","4552.0","4821.0","4978.0","4001.0","3656.0","2782.0","1629.0","1030.0"
"00PL","BLAENAU GWENT UA","38113.0","437.0","1798.0","2117.0","2747.0","3051.0","2850.0","2287.0","2296.0","2493.0","2038.0","1947.0","2035.0","2223.0","2529.0","2116.0","1978.0","1601.0","966.0","604.0"
"00PM","TORFAEN UA","46227.0","582.0","2449.0","2840.0","3478.0","3654.0","3463.0","2995.0","3153.0","3241.0","2585.0","2529.0","2600.0","2755.0","2877.0","2153.0","1904.0","1493.0","932.0","544.0"
"00PP","MONMOUTHSHIRE UA","39034.0","442.0","1701.0","2106.0","2828.0","3343.0","2671.0","2222.0","2609.0","2969.0","2417.0","2180.0","2224.0","2306.0","2366.0","1912.0","1706.0","1404.0","927.0","701.0"
"00PR","NEWPORT UA","68035.0","861.0","3331.0","3815.0","5059.0","5917.0","5583.0","4295.0","4304.0","4518.0","3851.0","3715.0","3850.0","4020.0","3877.0","3055.0","3015.0","2401.0","1525.0","1043.0"
"00PT","CARDIFF UA","147843.0","1881.0","7010.0","7985.0","10333.0","12675.0","13354.0","10201.0","9389.0","9079.0","7397.0","7398.0","7722.0","8487.0","8633.0","7243.0","6872.0","5694.0","3867.0","2623.0"
"1.0","GREATER LONDON","3504461.0","44661.0","162598.0","170329.0","213088.0","262667.0","306318.0","276931.0","247918.0","240593.0","189341.0","181722.0","187368.0","193831.0","199115.0","167548.0","167822.0","136148.0","90597.0","65866.0"
"2.0","GREATER MANCHESTER","1331018.0","16891.0","65835.0","76224.0","97175.0","107064.0","104758.0","88670.0","86565.0","89750.0","72443.0","68898.0","69812.0","73383.0","77630.0","65543.0","65114.0","51849.0","33123.0","20291.0"
"3.0","MERSEYSIDE","780682.0","9506.0","37170.0","43737.0","56673.0","65111.0","62475.0","51029.0","47745.0","48449.0","41116.0","42249.0","44181.0","44874.0","46436.0","38873.0","37922.0","30304.0","19702.0","13130.0"
"4.0","SOUTH YORKSHIRE","668404.0","7661.0","30328.0","36842.0","49183.0","54029.0","53221.0","44997.0","42803.0","45239.0","37139.0","36245.0","36523.0","38118.0","40638.0","33412.0","31905.0","24882.0","15709.0","9530.0"
"5.0","TYNE & WEAR","591656.0","6959.0","27685.0","32154.0","41053.0","46658.0","47108.0","39382.0","37434.0","37102.0","31072.0","32263.0","34434.0","35654.0","37493.0","29907.0","28466.0","22974.0","14777.0","9081.0"
"6.0","WEST MIDLANDS","1354917.0","17513.0","67655.0","78720.0","103438.0","113876.0","108147.0","89206.0","83448.0","89239.0","74621.0","73017.0","75118.0","77840.0","81962.0","64986.0","60677.0","47273.0","29768.0","18413.0"
"7.0","WEST YORKSHIRE","1059067.0","13585.0","53240.0","62268.0","78570.0","84393.0","82367.0","70163.0","69309.0","70533.0","56780.0","55636.0","56541.0","57893.0","59924.0","50581.0","50528.0","41422.0","27552.0","17782.0"
"9.0","BEDFORDSHIRE","172921.0","2247.0","10008.0","11161.0","13009.0","13699.0","13259.0","12630.0","13381.0","14020.0","10515.0","9611.0","9066.0","8672.0","8358.0","6628.0","6229.0","4907.0","3247.0","2274.0"
"11.0","BUCKINGHAMSHIRE","222286.0","2458.0","10863.0","13346.0","17006.0","19310.0","15735.0","13649.0","15620.0","18320.0","14690.0","13600.0","12805.0","11885.0","11160.0","8768.0","8557.0","6780.0","4463.0","3271.0"
"12.0","CAMBRIDGESHIRE","230636.0","2761.0","11641.0","13886.0","16605.0","18176.0","18597.0","16370.0","16992.0","18019.0","13365.0","11872.0","11492.0","11458.0","11953.0","10109.0","10226.0","8103.0","5258.0","3753.0"
"13.0","CHESHIRE","327510.0","3614.0","15178.0","18911.0","24402.0","26111.0","23120.0","19929.0","22025.0","24916.0","20358.0","19136.0","18964.0","18743.0","18549.0","15147.0","14596.0","11545.0","7449.0","4817.0"
"15.0","CORNWALL & ISLES OF SCILLY","225568.0","2286.0","9972.0","12244.0","14982.0","15291.0","13859.0","12714.0","14167.0","16182.0","12494.0","12271.0","12618.0","13343.0","14884.0","13365.0","13315.0","10390.0","6687.0","4504.0"
"16.0","CUMBRIA","248105.0","2748.0","11190.0","13613.0","17427.0","19163.0","17189.0","15213.0","15910.0","16817.0","13911.0","13576.0","14039.0","14573.0","15933.0","13081.0","12766.0","10220.0","6573.0","4163.0"
"17.0","DERBYSHIRE","353771.0","3877.0","16429.0","20125.0","25341.0","26560.0","24343.0","22369.0","24254.0","26767.0","20803.0","19457.0","19635.0","20310.0","21714.0","17745.0","17006.0","13306.0","8455.0","5275.0"
"18.0","DEVON","315214.0","3080.0","12561.0","15452.0","19752.0","23067.0","20563.0","17270.0","18335.0","20720.0","16631.0","16474.0","16952.0","18470.0","20934.0","19348.0","20068.0","16519.0","10880.0","8138.0"
"19.0","DORSET","176612.0","1699.0","7355.0","8710.0","10787.0","13200.0","10555.0","9539.0","10401.0","11745.0","9081.0","9097.0","9403.0","10282.0","12247.0","11672.0","11915.0","9064.0","5734.0","4126.0"
"20.0","DURHAM","258563.0","2989.0","12356.0","14728.0","18643.0","20676.0","19855.0","16509.0","17127.0","18075.0","14646.0","14441.0","14769.0","15145.0","15583.0","12547.0","12080.0","9434.0","5757.0","3203.0"
"21.0","EAST SUSSEX","235244.0","2077.0","8814.0","10461.0","13094.0","16469.0","13235.0","11348.0","12795.0","14495.0","11283.0","11356.0","11737.0","12776.0","15844.0","16340.0","18116.0","15628.0","10961.0","8415.0"
"22.0","ESSEX","616854.0","7106.0","30656.0","37379.0","45557.0","47026.0","43927.0","40371.0","44129.0","48294.0","36825.0","34272.0","33591.0","32932.0","34071.0","28401.0","27441.0","21324.0","13844.0","9708.0"
"23.0","GLOUCESTERSHIRE","259673.0","2910.0","11927.0","14342.0","18330.0","21211.0","18402.0","16063.0","16924.0","18748.0","14666.0","13968.0","14090.0","14878.0","15604.0","13219.0","12788.0","10031.0","6722.0","4850.0"
"24.0","HAMPSHIRE","555690.0","6814.0","27281.0","33455.0","41409.0","45233.0","40915.0","36631.0","39246.0","43733.0","33762.0","31144.0","29620.0","28782.0","29417.0","24346.0","23756.0","18836.0","12394.0","8916.0"
"26.0","HERTFORDSHIRE","499019.0","5924.0","24464.0","29095.0","36319.0","41669.0","36392.0","32461.0","34518.0","37420.0","29799.0","29203.0","29457.0","28744.0","27896.0","21704.0","20016.0","15854.0","10375.0","7709.0"
"29.0","KENT","645732.0","6969.0","29594.0","36097.0","45191.0","51298.0","43745.0","38477.0","41899.0","46590.0","36438.0","34474.0","34672.0","35578.0","38287.0","33071.0","33435.0","27834.0","18603.0","13480.0"
"30.0","LANCASHIRE","562644.0","6773.0","26901.0","32487.0","40831.0","42636.0","39513.0","33862.0","36097.0","38857.0","30979.0","29784.0","30134.0","31464.0","33380.0","28880.0","29911.0","24514.0","15852.0","9789.0"
"31.0","LEICESTERSHIRE","275606.0","3206.0","13537.0","16935.0","20686.0","21518.0","20314.0","18523.0","20343.0","22212.0","16721.0","15425.0","15013.0","14707.0","14458.0","12012.0","11476.0","8930.0","5790.0","3800.0"
"32.0","LINCOLNSHIRE","282066.0","3007.0","13308.0","16280.0","19982.0","20961.0","19454.0","17611.0","18816.0","20959.0","16362.0","15261.0","15410.0","15949.0","17557.0","14874.0","14150.0","10673.0","6785.0","4667.0"
"33.0","NORFOLK","365396.0","3950.0","16465.0","20154.0","24711.0","27171.0","24938.0","22437.0","23839.0","25977.0","20234.0","19588.0","19827.0","20640.0","22369.0","20103.0","20079.0","15762.0","10112.0","7040.0"
"34.0","NORTHAMPTONSHIRE","274627.0","3452.0","14592.0","17405.0","21000.0","21783.0","20641.0","19261.0","20150.0","21408.0","15520.0","13913.0","13668.0","13863.0","14385.0","11929.0","11654.0","9359.0","6289.0","4355.0"
