"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","27728836.0","393224.0","1547380.0","1850835.0","1731585.0","2067592.0","2324507.0","2286413.0","1983442.0","1893505.0","2035013.0","1645967.0","1538539.0","1459643.0","1404122.0","1357666.0","886398.0","726240.0","400890.0","195875.0"
"","GREAT BRITAIN","26952897.0","379607.0","1491925.0","1783295.0","1667463.0","1998914.0","2257507.0","2225304.0","1929474.0","1844219.0","1987281.0","1603623.0","1501124.0","1425271.0","1371632.0","1327846.0","864848.0","709904.0","392146.0","191514.0"
"","ENGLAND & WALES","24509732.0","346722.0","1358426.0","1618811.0","1509588.0","1810272.0","2044627.0","2020935.0","1748749.0","1678333.0","1815986.0","1460149.0","1364038.0","1293579.0","1247091.0","1213587.0","790926.0","650618.0","360517.0","176778.0"
"","ENGLAND","23127634.0","327228.0","1280757.0","1524991.0","1421732.0","1707725.0","1938169.0","1916099.0","1657996.0","1585476.0","1715824.0","1376164.0","1285814.0","1218014.0","1171219.0","1139002.0","741333.0","612861.0","340285.0","166945.0"
"","WALES","1382098.0","19494.0","77669.0","93820.0","87856.0","102547.0","106458.0","104836.0","90753.0","92857.0","100162.0","83985.0","78224.0","75565.0","75872.0","74585.0","49593.0","37757.0","20232.0","9833.0"
"","SCOTLAND","2443165.0","32885.0","133499.0","164484.0","157875.0","188642.0","212880.0","204369.0","180725.0","165886.0","171295.0","143474.0","137086.0","131692.0","124541.0","114259.0","73922.0","59286.0","31629.0","14736.0"
"","NORTHERN IRELAND","775939.0","13617.0","55455.0","67540.0","64122.0","68678.0","67000.0","61109.0","53968.0","49286.0","47732.0","42344.0","37415.0","34372.0","32490.0","29820.0","21550.0","16336.0","8744.0","4361.0"
"A","NORTH EAST","1251430.0","16923.0","70353.0","85808.0","81304.0","90558.0","99623.0","100311.0","89729.0","85505.0","90191.0","72692.0","71493.0","70069.0","68590.0","65387.0","39412.0","30170.0","15947.0","7365.0"
"B","NORTH WEST","3299426.0","47992.0","191086.0","227112.0","214256.0","244416.0","267812.0","264803.0","230174.0","221597.0","242100.0","196403.0","187222.0","177845.0","170310.0","163003.0","103553.0","83818.0","44876.0","21048.0"
"D","YORKSHIRE AND THE HUMBER","2386929.0","33573.0","134001.0","158924.0","151461.0","180543.0","200472.0","192697.0","168262.0","161387.0","174648.0","140298.0","132932.0","126019.0","122641.0","120262.0","76768.0","62127.0","33792.0","16122.0"
