"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","56803958.0","756788.0","2919536.0","3539785.0","3507096.0","4349119.0","4743959.0","4347510.0","3832692.0","3956021.0","3845454.0","3140335.0","3017629.0","3033233.0","2997770.0","2755278.0","2301746.0","1848179.0","1163299.0","748529.0"
"","GREAT BRITAIN","55222004.0","729024.0","2812205.0","3408258.0","3379070.0","4208663.0","4609769.0","4228779.0","3729620.0","3858718.0","3750275.0","3059967.0","2942476.0","2960243.0","2926960.0","2691315.0","2249355.0","1806988.0","1138639.0","731680.0"
"","ENGLAND & WALES","50122984.0","663540.0","2555537.0","3089513.0","3055242.0","3798765.0","4172706.0","3828084.0","3379000.0","3514899.0","3424721.0","2773968.0","2662647.0","2680270.0","2658381.0","2451644.0","2051357.0","1649300.0","1041448.0","671962.0"
"","ENGLAND","47300419.0","626289.0","2410259.0","2914610.0","2877830.0","3585669.0","3953658.0","3628045.0","3201309.0","3320711.0","3236759.0","2615383.0","2510291.0","2526177.0","2495860.0","2300347.0","1928536.0","1553248.0","981438.0","634000.0"
"","WALES","2822565.0","37251.0","145278.0","174903.0","177412.0","213096.0","219048.0","200039.0","177691.0","194188.0","187962.0","158585.0","152356.0","154093.0","162521.0","151297.0","122821.0","96052.0","60010.0","37962.0"
"","SCOTLAND","5099020.0","65484.0","256668.0","318745.0","323828.0","409898.0","437063.0","400695.0","350620.0","343819.0","325554.0","285999.0","279829.0","279973.0","268579.0","239671.0","197998.0","157688.0","97191.0","59718.0"
"","NORTHERN IRELAND","1581954.0","27764.0","107331.0","131527.0","128026.0","140456.0","134190.0","118731.0","103072.0","97303.0","95179.0","80368.0","75153.0","72990.0","70810.0","63963.0","52391.0","41191.0","24660.0","16849.0"
"A","NORTH EAST","2589779.0","34138.0","135261.0","164395.0","166261.0","192475.0","208814.0","196547.0","174821.0","177529.0","169201.0","143121.0","143059.0","147742.0","146835.0","130807.0","102118.0","78853.0","48514.0","29288.0"
"B","NORTH WEST","6820667.0","92610.0","361484.0","431140.0","438855.0","517339.0","553311.0","507755.0","446477.0","466672.0","457398.0","379381.0","367123.0","371606.0","367015.0","334859.0","278699.0","223478.0","139222.0","86243.0"
"D","YORKSHIRE AND THE HUMBER","4879150.0","65025.0","250491.0","301746.0","309343.0","381454.0","401931.0","364333.0","322083.0","335896.0","326207.0","269247.0","261077.0","263287.0","262576.0","241127.0","200459.0","159595.0","100168.0","63105.0"
"E","EAST MIDLANDS","3925293.0","50791.0","199424.0","246454.0","251307.0","298235.0","316866.0","293051.0","265198.0","282051.0","278055.0","220325.0","208279.0","210250.0","209064.0","191490.0","155833.0","123422.0","77124.0","48074.0"
"F","WEST MIDLANDS","5194570.0","70564.0","272427.0","330195.0","337214.0","406991.0","424137.0","386093.0","342992.0","359150.0","362519.0","296638.0","282095.0","284322.0","278679.0","252258.0","201710.0","155364.0","94713.0","56509.0"
"G","EAST","5030759.0","65524.0","256566.0","320589.0","319377.0","374117.0","400526.0","378584.0","346446.0","369912.0","359567.0","281407.0","266871.0","264873.0","259190.0","240082.0","201411.0","160140.0","100674.0","64903.0"
"H","LONDON","6765557.0","97603.0","350000.0","390327.0","344354.0","482931.0","685466.0","614249.0","497404.0","470407.0","438442.0","356764.0","347113.0","348568.0","335559.0","301296.0","260684.0","215688.0","135570.0","93132.0"
"J","SOUTH EAST","7505040.0","94532.0","369552.0","461600.0","444126.0","585785.0","606972.0","561911.0","510310.0","542692.0","531969.0","418778.0","394308.0","388467.0","380289.0","359711.0","311142.0","258444.0","169901.0","114551.0"
