"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"","UNITED KINGDOM","27371429.0","366340.0","1468206.0","1726172.0","2159936.0","2418960.0","2261291.0","1957288.0","1932466.0","2014987.0","1629825.0","1562316.0","1543199.0","1535177.0","1496505.0","1155882.0","1012514.0","661442.0","322514.0","146409.0"
"","GREAT BRITAIN","26612416.0","352537.0","1413237.0","1660943.0","2087346.0","2342410.0","2194803.0","1903617.0","1883223.0","1966958.0","1587934.0","1524311.0","1507232.0","1500400.0","1463202.0","1129490.0","989890.0","647250.0","315265.0","142368.0"
"","ENGLAND & WALES","24133341.0","319126.0","1278191.0","1499874.0","1882539.0","2111949.0","1976034.0","1718110.0","1710608.0","1795992.0","1443168.0","1383335.0","1367517.0","1363778.0","1335876.0","1030835.0","903753.0","592118.0","289444.0","131094.0"
"","ENGLAND","22775820.0","300980.0","1205429.0","1413057.0","1774193.0","1994827.0","1867306.0","1628986.0","1617905.0","1699073.0","1361406.0","1306063.0","1290401.0","1283308.0","1257499.0","968878.0","851141.0","558633.0","272978.0","123757.0"
"","WALES","1357521.0","18146.0","72762.0","86817.0","108346.0","117122.0","108728.0","89124.0","92703.0","96919.0","81762.0","77272.0","77116.0","80470.0","78377.0","61957.0","52612.0","33485.0","16466.0","7337.0"
"","SCOTLAND","2479075.0","33411.0","135046.0","161069.0","204807.0","230461.0","218769.0","185507.0","172615.0","170966.0","144766.0","140976.0","139715.0","136622.0","127326.0","98655.0","86137.0","55132.0","25821.0","11274.0"
"","NORTHERN IRELAND","759013.0","13803.0","54969.0","65229.0","72590.0","76550.0","66488.0","53671.0","49243.0","48029.0","41891.0","38005.0","35967.0","34777.0","33303.0","26392.0","22624.0","14192.0","7249.0","4041.0"
"A","NORTH EAST","1273125.0","17056.0","69590.0","81612.0","101980.0","109069.0","104927.0","90889.0","89493.0","90330.0","73828.0","74103.0","75476.0","76931.0","74038.0","52802.0","44277.0","27949.0","13233.0","5542.0"
"B","NORTH WEST","3328097.0","45672.0","180343.0","214949.0","274304.0","291756.0","270603.0","231859.0","230907.0","241706.0","198061.0","192464.0","190737.0","190509.0","183970.0","139510.0","121595.0","77722.0","36050.0","15380.0"
"D","YORKSHIRE AND THE HUMBER","2386872.0","31558.0","126007.0","151566.0","194494.0","211561.0","197126.0","167675.0","166358.0","172948.0","140480.0","136265.0","134170.0","136293.0","133537.0","101708.0","88275.0","57147.0","27759.0","11945.0"
"E","EAST MIDLANDS","1892679.0","24447.0","100693.0","121305.0","152257.0","163371.0","148784.0","131019.0","134994.0","145906.0","115473.0","108677.0","106878.0","107623.0","105356.0","79530.0","69191.0","45238.0","22190.0","9747.0"
"F","WEST MIDLANDS","2545593.0","34770.0","136312.0","164139.0","211195.0","224374.0","203735.0","178432.0","175631.0","191238.0","157093.0","149163.0","148419.0","147116.0","141884.0","104725.0","86870.0","54939.0","25330.0","10228.0"
"G","EASTERN","2405432.0","30974.0","130360.0","156001.0","189609.0","206436.0","190103.0","166588.0","174916.0","188045.0","147359.0","138923.0","135715.0","132006.0","128593.0","100871.0","88626.0","58080.0","28852.0","13375.0"
